dbn,schoolname,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
01M015,P.S. 015 Roberto Clemente,88,60,22,90,0,25,150,8.5,7.6,7.5,7.8,7.5,7.8,7.6,7.9,8,7.7,7.5,7.9
01M019,P.S. 019 Asher Levy,100,60,34,161,0,33,269,8.4,7.6,7.6,7.8,8.6,8.5,8.9,9.1,8.5,8.1,8.2,8.4
01M020,P.S. 020 Anna Silver,88,73,42,367,0,48,505,8.9,8.3,8.3,8.6,7.6,6.3,6.8,7.5,8.2,7.3,7.5,8
01M034,P.S. 034 Franklin D. Roosevelt,89,73,50,145,29,151,163,40,301,8.8,8.2,8,8.5,7,6.2,6.8,7.8,6.2,5.9,6.5,7.4,7.3,6.7,7.1,7.9
01M063,P.S. 063 William McKinley,100,60,23,90,0,23,151,8.7,7.9,8.1,7.9,8.4,7.3,7.8,8.1,8.5,7.6,7.9,8
01M064,P.S. 064 Robert Simon,94,61,32,159,0,34,262,8.8,8.2,8.2,8.5,8.6,7.6,8.3,8.5,8.7,7.9,8.2,8.5
01M110,P.S. 110 Florence Nightingale,91,79,32,302,0,35,380,8.4,7.6,7.6,7.7,6.9,5.3,5.7,6.5,7.6,6.4,6.6,7.1
01M134,P.S. 134 Henrietta Szold,74,66,23,192,0,31,293,9,7.9,8,7.9,6.4,6.2,6.5,7.3,7.7,7,7.2,7.6
01M137,P.S. 137 John L. Bernstein,67,75,14,145,0,21,194,8.7,8,8,8.2,6.9,6.3,6.1,6.9,7.8,7.2,7.1,7.5
01M140,P.S. 140 Nathan Straus,98,94,68,185,34,213,189,36,315,8.8,8,8.1,8.4,7.3,6.5,6.3,7.3,7.6,6.7,7.5,8,7.9,7.1,7.3,7.9
01M142,P.S. 142 Amalia Castro,100,100,38,331,0,38,332,9.1,8,8.1,8.3,7.7,7.2,7.8,8.1,8.4,7.6,8,8.2
01M184,P.S. 184 Shuang Wen,96,82,80,156,36,382,162,44,479,8.7,8.1,8,8,7.9,6.7,7.2,8.1,7.4,5.9,7.2,7.7,8,6.9,7.5,7.9
01M188,P.S. 188 The Island School,82,59,40,119,22,106,146,37,268,8.7,8.1,8.2,7.9,5.5,5,5.7,6.4,6.8,6.3,7,7.5,7,6.5,7,7.2
01M292,Henry Street School for International Studies,89,70,39,379,26,151,425,37,389,7.8,7.7,7.4,7.6,6.3,5.3,6.1,6.5,6,5.6,6.1,6.7,6.7,6.2,6.6,7
01M301,"Technology, Arts, and Sciences Studio",99,100,21,181,22,38,182,20,179,8.5,7.3,7.4,7.6,7.7,7.6,8.5,8,5.8,5.9,6.4,7,7.3,6.9,7.4,7.5
01M315,The East Village Community School,100,67,20,135,0,20,201,9,8.6,8.8,8.7,8.3,7.8,8.3,8.2,8.7,8.2,8.5,8.5
01M332,University Neighborhood Middle School,96,100,86,110,14,93,115,14,108,8.4,7.9,7.8,8,8.5,7.8,8.5,8.8,7.2,6.6,7,8.1,8,7.4,7.7,8.3
01M345,"Collaborative Academy of Science, Technology, & La",100,87,53,254,20,127,255,23,241,8.4,7.6,7.6,7.7,6.5,4.9,6,6.5,7,6.3,7,7.6,7.3,6.3,6.9,7.3
01M361,The Children's Workshop School,74,42,17,93,0,23,220,8.9,8.2,8.3,8.5,8.3,7.8,8.6,8.6,8.6,8,8.5,8.5
01M363,Neighborhood School,54,40,13,115,0,24,290,8.7,8.1,8.4,7.9,8,6.4,7.7,7.4,8.3,7.2,8.1,7.6
01M364,Earth School,86,54,19,152,0,22,283,9.3,8.9,8.9,8.8,9.3,8.5,9.1,9,9.3,8.7,9,8.9
01M378,School for Global Leaders,78,91,82,204,20,203,260,22,247,8.8,7.9,7.8,8.6,6.6,4.9,5.1,6.6,7.5,7.7,7.3,8,7.6,6.8,6.7,7.7
01M448,University Neighborhood High School,84,95,10,385,37,46,459,39,445,7.9,7.4,7.2,7.3,6.6,5.8,6.6,7.3,6,5.7,6.3,7,6.8,6.3,6.7,7.2
01M450,East Side Community School,0,98,28,42,150,566,43,534,8.7,8.2,8.1,8.4,7.3,8,8,8.8,7.9,7.9,7.9,8.4
01M458,Forsyth Satellite Academy,40,100,23,66,10,37,167,10,164,8.1,7,6.7,7.6,8.5,8.2,8.9,8.9,6.8,6.1,6.1,6.8,7.8,7.1,7.2,7.8
01M509,Marta Valle High School,90,100,21,306,29,69,339,28,325,7.7,7.4,7.2,7.3,6.4,5.3,6.1,6.8,6.4,5.9,6.4,7,6.9,6.2,6.6,7
01M515,Lower East Side Preparatory High School,95,100,86,454,36,389,477,36,450,8.3,7.2,7.4,7.5,9.1,7.3,8.7,9.1,8,6.3,7,7.3,8.5,7,7.7,8
01M539,"New Explorations into Science, Technology and Math",98,68,51,923,67,736,945,98,1446,8.5,7.9,7.9,8.4,7.6,5.6,5.9,7.3,7.3,6.4,7,7.7,7.8,6.7,6.9,7.8
01M650,Cascades High School,75,86,19,125,12,30,166,14,158,9,8.4,8.1,8.6,7.6,7.5,8.3,8.7,8.1,6.9,7.9,8.4,8.3,7.6,8.1,8.6
01M696,Bard High School Early College,98,81,50,561,30,283,571,37,561,8.8,8.2,8.3,9.1,8.2,7.4,7.5,8.3,8.3,7.3,8,8.9,8.5,7.6,8,8.7
01M839,Tompkins Square Middle School,88,73,42,340,22,157,388,30,378,8.8,8.2,8.2,8.5,8.5,7.4,8.4,8.7,7.6,7.2,7.8,8.1,8.3,7.6,8.1,8.4
02M001,P.S. 001 Alfred E. Smith,85,77,34,343,0,40,444,8.7,7.5,7.5,7.5,6.7,4.7,6.3,6.8,7.7,6.1,6.9,7.1
02M002,P.S. 002 Meyer London,71,78,46,483,0,65,622,8.2,7.6,7.6,7.6,7.3,6.7,7.2,7.8,7.8,7.2,7.4,7.7
02M003,P.S. 003 Charrette School,78,74,36,435,0,46,591,8.9,8.8,8.9,8.8,8.9,8.5,8.9,9,8.9,8.7,8.9,8.9
02M006,P.S. 006 Lillie D. Blake,70,55,37,362,0,53,664,8.6,8.1,8.3,8.4,8.1,5.9,7.3,7.8,8.4,7,7.8,8.1
02M011,P.S. 011 William T. Harris,96,68,51,360,0,53,530,8.9,8.5,8.6,8.8,8.9,8.3,8.7,9.2,8.9,8.4,8.6,9
02M033,P.S. 033 Chelsea Prep,100,94,31,298,0,31,317,9.5,9.1,9.2,9.3,9.1,8.7,8.8,9.1,9.3,8.9,9,9.2
02M040,P.S. 040 Augustus Saint-Gaudens,59,43,22,221,0,37,510,8.8,8.6,8.6,8.6,8.9,8,7.8,8.5,8.9,8.3,8.2,8.6
02M041,P.S. 041 Greenwich Village,98,76,51,480,0,52,635,9.1,8.6,8.5,8.8,9,8,8.8,8.9,9.1,8.3,8.7,8.8
02M042,P.S. 042 Benjamin Altman,67,87,37,530,0,55,606,8.6,7.4,7.6,7.5,8.5,7.1,7.8,8.3,8.5,7.3,7.7,7.9
02M047,47 The American Sign Language and English Secondar,72,76,30,109,16,43,152,21,145,8.9,7.7,7.9,8.1,8.1,6.1,7.7,7.2,7.3,6.3,7,7.5,8.1,6.7,7.5,7.6
02M051,P.S. 051 Elias Howe,85,99,22,278,0,26,280,8.8,8,8,8.2,9.4,8.2,8.9,9,9.1,8.1,8.4,8.6
02M059,P.S. 059 Beekman Hill International,78,66,28,264,0,36,399,9,8.4,8.5,8.6,8.7,6.7,8.1,8.9,8.8,7.6,8.3,8.7
02M077,P.S. 77 Lower Lab School,84,85,16,254,0,19,299,8.6,8,8.2,8.4,8.5,7.6,7.5,8.9,8.6,7.8,7.8,8.7
02M089,P.S. 89,89,67,31,265,0,35,393,8.8,8.2,8.6,8.1,8.5,6.8,8,8.4,8.7,7.5,8.3,8.3
