dbn,school_name
31R455,Tottenville High School
30Q450,Long Island City High School
30Q445,William Cullen Bryant High School
30Q501,Frank Sinatra School of the Arts High School
26Q430,Francis Lewis High School
25Q285,World Journalism Preparatory: A College Board School
28Q690,High School for Law Enforcement and Public Safety
20K485,High School of Telecommunication Arts and Technology
20K490,Fort Hamilton High School
26Q495,Bayside High School
16K765,Nelson Mandela High School
13K595,Bedford Academy High School
16K455,Boys and Girls High School
16K393,Frederick Douglass Academy IV Secondary School
16K688,The Brooklyn Academy of Global Finance
16K498,Brooklyn High School for Law and Technology
16K594,Gotham Professional Arts Academy
26Q435,Martin Van Buren High School
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences"
26Q315,Business Technology Early College High School (BTECH)
10X243,West Bronx Academy for the Future
10X524,Crotona International High School
10X565,High School for Energy and Technology
10X438,Fordham Leadership Academy for Business and Technology
10X434,Belmont Preparatory High School
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA)
10X437,Fordham High School for the Arts
10X439,Bronx High School for Law and Community Service
10X264,Bronx Academy for Software Engineering (BASE)
21K690,Brooklyn Studio Secondary School
20K445,New Utrecht High School
19K422,Spring Creek Community School
20K505,Franklin Delano Roosevelt High School
20K609,Urban Assembly School for Criminal Justice
27Q262,Channel View School for Research
27Q324,Rockaway Park High School for Environmental Sustainability
27Q351,Rockaway Collegiate High School
27Q323,Scholars' Academy
28Q620,Thomas A. Edison Career and Technical Education High School
28Q505,Hillcrest High School
28Q325,Hillside Arts & Letters Academy
28Q896,"Young Women's Leadership School, Queens (TYWLS)"
28Q350,Jamaica Gateway to the Sciences
28Q310,Queens Collegiate: A College Board School
28Q328,High School for Community Leadership
21K620,William E. Grady Career and Technical Education High School
11X542,Pelham Preparatory Academy
11X288,Collegiate Institute for Math and Science (CIMS)
11X509,High School of Language and Innovation
11X299,Astor Collegiate Academy
11X508,Bronxdale High School
23K647,Metropolitan Diploma Plus High School
23K514,Frederick Douglass Academy VII High School
23K697,Teachers Preparatory High School
32K554,All City Leadership Secondary School
32K403,Academy for Environmental Leadership
32K545,EBC High School for Public Service - Bushwick
14K474,PROGRESS High School for Professional Careers
14K614,Young Women's Leadership School of Brooklyn (TYWLS)
14K478,"The High School for Enterprise, Business and Technology"
32K556,Bushwick Leaders High School for Academic Excellence
32K549,Bushwick School for Social Justice
14K477,School for Legal Studies
32K168,The Brooklyn School for Math and Research (BSMARt)
32K552,Academy of Urban Planning
29Q313,Benjamin Franklin High School for Finance & Information Technology
29Q492,"Mathematics, Science Research and Technology Magnet High School"
29Q498,Humanities & Arts Magnet High School
29Q243,Institute for Health Professions at Cambria Heights
18K566,Brooklyn Generation School
18K617,High School for Innovation in Advertising and Media
18K633,High School for Medical Professions
18K642,Urban Action Academy
18K576,Victory Collegiate High School
18K637,Academy for Conservation and the Environment
18K567,Brooklyn Theatre Arts High School
15K448,Brooklyn Secondary School for Collaborative Studies
08X376,Antonia Pantoja Preparatory Academy: A College Board School
08X367,"Archimedes Academy for Math, Science and Technology Applications"
08X561,Bronx Compass High School
08X432,Bronx Bridges High School
08X305,Pablo Neruda Academy
08X312,Millennium Art Academy
08X452,Bronx Guild
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The"
08X282,Women's Academy of Excellence
05M148,Eagle Academy for Young Men of Harlem
05M304,Mott Hall High School
05M157,The Urban Assembly School for Global Commerce
05M670,Thurgood Marshall Academy for Learning and Social Change
05M499,Frederick Douglass Academy
03M415,Wadleigh Secondary School for the Performing & Visual Arts
03M860,Frederick Douglass Academy II Secondary School
02M260,"Clinton School Writers & Artists, M.S. 260"
02M411,Baruch College Campus High School
02M437,Hudson High School of Learning Technologies
02M422,Quest to Learn
02M412,NYC Lab School for Collaborative Studies
02M419,Landmark High School
02M600,The High School of Fashion Industries
02M414,NYC Museum School
02M392,Manhattan Business Academy
02M605,Humanities Preparatory Academy
02M439,Manhattan Village Academy
02M294,Essex Street Academy
02M282,Urban Assembly Maker Academy
01M509,Marta Valle High School
02M298,Pace High School
02M520,Murry Bergtraum High School for Business Careers
02M545,High School for Dual Language and Asian Studies
02M280,Manhattan Early College School for Advertising
02M135,The Urban Assembly School for Emergency Management
02M543,New Design High School
02M305,"Urban Assembly Academy of Government and Law, The"
02M308,Lower Manhattan Arts Academy
09X276,Leadership Institute
09X250,Eximius College Preparatory Academy: A College Board School
09X260,Bronx Center for Science and Mathematics
09X241,"Urban Assembly School for Applied Math and Science, The"
09X517,Frederick Douglass Academy III Secondary School
09X231,Eagle Academy for Young Men
09X252,Mott Hall Bronx High School
09X263,Validus Preparatory Academy: An Expeditionary Learning School
09X525,Bronx Leadership Academy High School
02M542,Manhattan Bridges High School
03M479,Beacon High School
02M400,High School for Environmental Studies
02M139,Stephen T. Mather Building Arts & Craftsmanship High School
02M300,"Urban Assembly School of Design and Construction, The"
02M408,Professional Performing Arts High School (PPAS)
02M507,Urban Assembly Gateway School for Technology
02M296,High School of Hospitality Management
02M393,Business Of Sports School (BOSS)
02M288,Food and Finance High School
02M303,"Facing History School, The"
02M544,Independence High School
13K412,"Brooklyn Community High School of Communication, Arts and Media (BCAM)"
13K670,Benjamin Banneker Academy
11X249,Bronx Health Sciences High School
11X455,Harry S Truman High School
24Q550,High School for Arts and Business
12X511,Bronx Envision Academy
12X251,Explorations Academy
12X682,Fannie Lou Hamer Freedom High School
12X271,East Bronx Academy for the Future
17K489,W.E.B. DuBois Academic High School
17K751,Academy for Health Careers
17K122,Pathways in Technology Early College High School (P-TECH)
13K499,ACORN Community High School
17K547,Brooklyn Academy of Science and the Environment
17K528,The High School for Global Citizenship
17K600,Clara Barton High School
17K590,Medgar Evers College Preparatory School
17K548,Brooklyn School for Music & Theatre
17K524,International High School at Prospect Heights
19K639,Brooklyn Lab School
19K583,Multicultural High School
19K659,Cypress Hills Collegiate Preparatory School
19K618,Academy of Innovative Technology
19K764,The Urban Assembly School for Collaborative Healthcare
15K656,Brooklyn High School of the Arts
13K439,Brooklyn International High School
13K350,Urban Assembly High School of Music and Art
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology"
15K497,School for International Studies
15K429,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies)
15K592,Khalil Gibran International Academy
13K527,Urban Assembly Institute of Math and Science for Young Women
13K483,The Urban Assembly School for Law and Justice
15K519,Cobble Hill School of American Studies
15K423,Brooklyn Frontiers High School
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts"
13K605,George Westinghouse Career and Technical Education High School
09X413,Bronx High School for Medical Science
09X324,Bronx Early College Academy for Teaching & Learning
09X329,DreamYard Preparatory School
09X227,Bronx Collegiate Academy
07X527,Bronx Leadership Academy II High School
07X547,New Explorers High School
09X564,Claremont International HS
07X548,Urban Assembly School for Careers in Sports
09X350,New Directions Secondary School
09X505,"Bronx School for Law, Government and Justice"
09X412,Bronx High School of Business
02M630,Art and Design High School
18K569,Kurt Hahn Expeditionary Learning School
18K563,It Takes a Village Academy
18K629,Cultural Academy for the Arts and Sciences
04M409,Coalition School for Social Change
04M435,Manhattan Center for Science and Mathematics
04M372,Esperanza Preparatory Academy
04M680,"Heritage School, The"
04M555,Central Park East High School
04M610,Young WomenÂ’s Leadership School (TYWLS)
04M495,Park East High School
19K409,East New York Family Academy
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers"
19K615,Transit Tech Career and Technical Education High School
19K660,W. H. Maxwell Career and Technical Education High School
19K404,Academy for Young Writers
19K504,High School for Civil Rights
19K502,FDNY Â– Captain Vernon A. Richards High School for Fire and Life Safety
19K507,Performing Arts and Technology High School
19K510,World Academy for Total Community Health High School (WATCH)
12X372,Urban Assembly School for Wildlife Conservation
12X684,Wings Academy
01M450,East Side Community School
14K454,Green School: An Academy for Environmental Careers
14K586,Lyons Community School
14K449,"Brooklyn Latin School, The"
24Q455,Newtown High School
24Q236,International High School for Health Sciences
24Q296,Pan American International High School
24Q293,Civic Leadership Academy
27Q260,Frederick Douglass Academy VI High School
27Q309,Academy of Medical Technology: A College Board School
27Q302,"Queens High School for Information, Research, and Technology"
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA)
22K405,Midwood High School
17K382,Academy for College Preparation and Career Exploration: A College Board School
17K539,High School for Service & Learning at Erasmus
17K537,High School for Youth and Community Development at Erasmus
17K408,Academy of Hospitality and Tourism
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)"
25Q281,East-West School of International Studies
25Q460,Flushing High School
25Q240,Veritas Academy
25Q241,Queens High School for Language Studies
28Q680,Queens Gateway to Health Sciences Secondary School
28Q440,Forest Hills High School
28Q686,Queens Metropolitan High School
28Q167,Metropolitan Expeditionary Learning School
13K430,Brooklyn Technical High School
13K265,Dr. Susan S. McKinney Secondary School of the Arts
02M551,Urban Assembly New York Harbor School
02M413,School of the Future High School
02M399,The High School For Language And Diplomacy
02M533,Union Square Academy for Health Sciences
02M420,High School for Health Professions and Human Services
02M047,Â“47Â” The American Sign Language and English Secondary School
02M546,Academy for Software Engineering (AFSE)
02M407,Institute for Collaborative Education (ICE)
02M438,International High School at Union Square
02M374,Gramercy Arts High School
21K540,John Dewey High School
21K468,Kingsborough Early College School
21K572,Expeditionary Learning School for Community Leaders
21K337,International High School at Lafayette
21K348,High School of Sports Management
21K559,Life Academy High School for Film and Music
29Q259,Pathways College Preparatory School: A College Board School
30Q502,Information Technology High School
24Q610,Aviation Career & Technical Education High School
30Q301,Academy for Careers in Television and Film (ACTV)
24Q267,High School of Applied Communication
24Q299,Bard High School Early College Queens
24Q520,Middle College High School at LaGuardia Community College
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology"
24Q264,Academy of Finance and Enterprise
24Q530,International High School at LaGuardia Community College
24Q600,Queens Vocational and Technical High School
08X269,Bronx Studio School for Writers and Artists
06M211,Inwood Early College for Health and Information Technologies
06M423,High School for Excellence and Innovation
29Q326,Cambria Heights Academy
28Q687,Queens High School for the Sciences at York College
25Q252,"Queens School of Inquiry, The"
25Q670,Robert F. Kennedy Community High School
25Q525,Townsend Harris High School
25Q425,John Bowne High School
02M459,Manhattan International High School
02M449,Vanguard High School
02M416,Eleanor Roosevelt High School
02M519,Talent Unlimited High School
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
03M541,Manhattan / Hunter Science High School
03M494,High School of Arts and Technology
